Titre;Date_debut;Date_fin;Lieu;Description
SAE1.01 SUIVI;20231013T070000Z;20231013T080000Z;G_002;\n\nRT1-TP A2\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.15;20230906T083000Z;20230906T103000Z;D_110;\n\nRT1-TD B\nGAYA PATRICK\n(Exporté le:10/01/2024 06:47)\n
Atelier de Prévention contre le Cyberharcèlement;20231026T080000Z;20231026T090000Z;D_032;\n\nRT1-TD A\n(Exporté le:10/01/2024 06:47)\n
R1.08 (TP) PM;20231003T080000Z;20231003T100000Z;G_012;\n\nRT1-TP A2\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.03;20231013T120000Z;20231013T140000Z;G_012;\n\nRT1-TD A\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
R1.04 TP;20231006T140000Z;20231006T160000Z;G_004;\n\nRT1-TP B2\nCHEVRIER JEAN-PIERRE\n(Exporté le:10/01/2024 0
R1.07 TP;20231204T090000Z;20231204T110000Z;G_012;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.02;20231115T090000Z;20231115T110000Z;D_110;\n\nRT1-TD A\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
R1.13;20231018T060000Z;20231018T080000Z;D_032;\n\nRT1-TD B\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
Soutien RT1-RT2 (Non Obligatoire);20231019T120000Z;20231019T160000Z;G_002\,D_110\,G_003\,G_019\,G_004\,G_007\,G_012;\n\nRT1-S1\n(Exporté le:10/01/2024 06:47)\n
R1.13;20230921T080000Z;20230921T100000Z;D_026;\n\nRT1-TD B\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
R1.14;20231211T130000Z;20231211T150000Z;D_032;\n\nRT1-TD B\nSABER OUAFAE\n(Exporté le:10/01/2024 06:47)\n
R1.05;20231211T080000Z;20231211T110000Z;G_007;\n\nRT1-TP A1\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.07 TP;20231109T070000Z;20231109T090000Z;D_110;\n\nRT1-TP A2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.10;20230927T140000Z;20230927T160000Z;D_026;\n\nRT1-TD B\nDO RAMO BERRY CARLOS\n(Exporté le:10/01/2024 06
R1.11;20231017T120000Z;20231017T140000Z;D_026;\n\nRT1-TD B\nLAURENT SYLVIANE\n(Exporté le:10/01/2024 06:47)
R1.11;20231009T080000Z;20231009T100000Z;D_024;\n\nRT1-TP A2\nLAURENT SYLVIANE\n(Exporté le:10/01/2024 06:47
SAE1.02 2H;20231207T070000Z;20231207T090000Z;G_004;\n\nRT1-TP B1\n(Exporté le:10/01/2024 06:47)\n
SAE1.05 2H;20240112T090000Z;20240112T110000Z;G_019;\n\nRT1-TP B1\n(Exporté le:10/01/2024 06:47)\n
MOOC RECHERCHE DOCUMENTAIRE (MOODLE);20231107T090000Z;20231107T110000Z;G_007;\n\nRT1-TP A2\n(Exporté le:10/01/2024 06:47)\n
R1.04 ELECTRONIQUE MB;20230913T120000Z;20230913T140000Z;D_026;\n\nRT1-TD B\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
R1.05;20231124T130000Z;20231124T150000Z;D_026;\n\nRT1-TD B\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.10;20231027T120000Z;20231027T140000Z;D_032;\n\nRT1-TD A\nTCHEN CASSANDRA\n(Exporté le:10/01/2024 06:47)\
R1.04 TP;20231128T090000Z;20231128T110000Z;G_004;\n\nRT1-TP B1\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.08 PM;20230908T080000Z;20230908T100000Z;G_012;\n\nRT1-TD A\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\n
R1.14;20231220T130000Z;20231220T150000Z;D_110;\n\nRT1-TP B1\nANDRE NOEL\n(Exporté le:10/01/2024 06:47)\n
R1.14;20231220T150000Z;20231220T170000Z;G_007;\n\nRT1-TP A1\nANDRE NOEL\n(Exporté le:10/01/2024 06:47)\n
SAE1.01 1H;20231013T070000Z;20231013T080000Z;G_007;\n\nRT1-TP A1\n(Exporté le:10/01/2024 06:47)\n
R1.09;20231215T090000Z;20231215T110000Z;D_110;\n\nRT1-TP A2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
SAE1.05 SUIVI;20240117T100000Z;20240117T110000Z;D_110;\n\nRT1-TP A2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
SAE1.02 2H;20231207T090000Z;20231207T110000Z;G_004;\n\nRT1-TP A1\n(Exporté le:10/01/2024 06:47)\n
R1.08;20230907T060000Z;20230907T080000Z;G_011_AMPHI;\n\nRT1-S1\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\n
ATELIER VIE DE CAMPUS;20230929T063000Z;20230929T080000Z;D_032;\n\nRT1-TD B\n(Exporté le:10/01/2024 06:47)\n
SAE1.03 SUIVI;20240109T150000Z;20240109T160000Z;G_007;\n\nRT1-TP B1\nHEYRAUD CHRISTOPHE\n(Exporté le:10/01/2024 06:
R1.04 TP;20231110T090000Z;20231110T110000Z;G_004;\n\nRT1-TP B1\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.09 (DS TP);20240110T100000Z;20240110T110000Z;G_004;\n\nRT1-TP B1\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.06;20230925T060000Z;20230925T100000Z;G_004;\n\nRT1-TP B1\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06
